                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 11 ATS 11 ATS 10 ATS 7 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 11 ATS 11 ATS 10 ATP 7 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 11 ATS 11 ATP 10 ATP 7 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 11 ATP 11 ATP 10 ATP 7 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  ATH 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  ATH 1000.0  PAB 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  ATH 1000.0  PAB 1000.0  PAB 1000.0  PAB 966.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  PAB 1000.0  PAB 934.0  PAB 1000.0  PAB 966.0  0 ATP 11 ATP 11 ATP 10 ATP 7 
WFB  PAB 1000.0  PAB 934.0  PAB 1000.0  PAB 966.0  0 ATP 11 ATP 11 ATSL 10 ATP 7 
WFB  PAB 1000.0  PAB 934.0  PAB 1000.0  PAB 966.0  0 ATP 11 ATP 11 ATSL 10 ATSL 7 
WFB  PAB 1000.0  PAB 934.0  PAB 1000.0  PAB 966.0  0 ATP 11 ATSL 11 ATSL 10 ATSL 7 
WFB  PAB 1000.0  PAB 934.0  PAB 1000.0  PAB 966.0  0 ATSL 11 ATSL 11 ATSL 10 ATSL 7 
STR  PAB 918.0  PAB 934.0  PAB 972.0  PAB 966.0  0 ATSL 11 ATSL 11 ATSL 10 ATSL 7 
STR  PAB 918.0  PAB 934.0  PAB 972.0  PAB 966.0  0 ATSL 11 R 11 ATSL 10 ATSL 7 
STR  PAB 918.0  PAB 934.0  PAB 972.0  PAB 966.0  0 ATSL 11 R 11 R 10 ATSL 7 
STR  PAB 918.0  PAB 934.0  PAB 972.0  PAB 966.0  0 ATSL 11 R 11 R 10 R 7 
STR  PAB 918.0  PAB 934.0  PAB 972.0  PAB 966.0  0 R 11 R 11 R 10 R 7 
STR  PAB 918.0  PAB 934.0  PAB 972.0  PAB 966.0  0 R 11 R 11 ATFL 10 R 7 
STR  PAB 918.0  PAB 934.0  PAB 972.0  PAB 966.0  0 R 11 R 11 ATS 10 R 7 
