                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 6 ATS 5 ATS 7 ATS 10 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 6 ATS 5 ATS 7 ATP 10 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 6 ATS 5 ATP 7 ATP 10 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 6 ATP 5 ATP 7 ATP 10 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  ATH 1000.0  PAB 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  ATH 1000.0  PAB 1000.0  ATH 1000.0  WAR 916.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  PAB 1000.0  PAB 1000.0  ATH 1000.0  WAR 916.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  PAB 1000.0  WAR 965.0  ATH 1000.0  WAR 916.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  WAR 989.0  WAR 965.0  ATH 1000.0  WAR 916.0  0 ATP 6 ATP 5 ATP 7 ATP 10 
WFB  WAR 989.0  WAR 965.0  ATH 1000.0  WAR 916.0  0 ATP 6 ATP 5 ATP 7 ATSL 10 
WFB  WAR 989.0  WAR 965.0  ATH 1000.0  WAR 916.0  0 ATSL 6 ATP 5 ATP 7 ATSL 10 
WFB  WAR 989.0  WAR 965.0  ATH 1000.0  WAR 916.0  0 ATSL 6 ATSL 5 ATP 7 ATSL 10 
WFB  WAR 989.0  WAR 965.0  ATH 1000.0  WAR 916.0  0 ATSL 6 ATSL 5 ATSL 7 ATSL 10 
WFB  WAR 989.0  WAR 965.0  PAB 1000.0  WAR 916.0  0 ATSL 6 ATSL 5 ATSL 7 ATSL 10 
WFB  WAR 989.0  WAR 965.0  WAR 908.0  WAR 916.0  0 ATSL 6 ATSL 5 ATSL 7 ATSL 10 
STR  WAR 989.0  WAR 965.0  WAR 908.0  WAR 916.0  0 ATSL 6 ATSL 5 ATSL 7 ATSL 10 
STR  WAR 989.0  WAR 965.0  WAR 908.0  WAR 916.0  0 ATSL 6 ATSL 5 ATSL 7 R 10 
STR  WAR 989.0  WAR 965.0  WAR 908.0  WAR 916.0  0 R 6 ATSL 5 ATSL 7 R 10 
STR  WAR 989.0  WAR 965.0  WAR 908.0  WAR 916.0  0 R 6 ATSL 5 R 7 R 10 
STR  WAR 989.0  WAR 965.0  WAR 908.0  WAR 916.0  0 R 6 R 5 R 7 R 10 
STR  WAR 989.0  WAR 965.0  WAR 908.0  WAR 916.0  0 R 6 R 5 ATFL 7 R 10 
