                            AFTERNOON AT THE RACE TRACK - Description of the internal state of the problem
MAN/BRK              SPECTATOR/BETTER              HORSE/JOCKEY PAIR at RACE RN
  Stat  St0  Am0 St1  Am1 St2  Am2 St3  Am3 RN St0 Len0 St1 Len1 St2 Len2 Sr3 Len3 
                                                           Race RN Status  
 RN Dist BS0  BA0 BS1  BA1 BS2  BA2 BS3  BA3  Od0 N0 Ps0 SD0 Od1 N1 Ps1 SD1 Od2 N2 Ps2 SD2 Od3 N3 Ps3 SD3
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 12 ATS 8 ATS 13 ATS 18 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 12 ATS 8 ATS 13 ATP 18 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 12 ATS 8 ATP 13 ATP 18 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATS 12 ATP 8 ATP 13 ATP 18 
OTE  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
ANR  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  WFARTS 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  ATH 1000.0  WFARTS 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  ATH 1000.0  ATH 1000.0  WFARTS 1000.0  ATH 1000.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  ATH 1000.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  ATH 1000.0  ATH 1000.0  ATH 1000.0  PAB 1000.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  PAB 1000.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  ATH 1000.0  ATH 1000.0  PAB 1000.0  WAR 979.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  ATH 1000.0  ATH 1000.0  WAR 985.0  WAR 979.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  ATH 1000.0  PAB 1000.0  WAR 985.0  WAR 979.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  ATH 1000.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  PAB 1000.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATP 12 ATP 8 ATP 13 ATP 18 
WFB  PAB 1000.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATSL 12 ATP 8 ATP 13 ATP 18 
WFB  PAB 1000.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATSL 12 ATSL 8 ATP 13 ATP 18 
WFB  PAB 1000.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATSL 12 ATSL 8 ATSL 13 ATP 18 
WFB  PAB 1000.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATSL 12 ATSL 8 ATSL 13 ATSL 18 
WFB  WAR 923.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATSL 12 ATSL 8 ATSL 13 ATSL 18 
STR  WAR 923.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATSL 12 ATSL 8 ATSL 13 ATSL 18 
STR  WAR 923.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATSL 12 R 8 ATSL 13 ATSL 18 
STR  WAR 923.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATSL 12 R 8 ATSL 13 R 18 
STR  WAR 923.0  WAR 988.0  WAR 985.0  WAR 979.0  0 ATSL 12 R 8 R 13 R 18 
STR  WAR 923.0  WAR 988.0  WAR 985.0  WAR 979.0  0 R 12 R 8 R 13 R 18 
STR  WAR 923.0  WAR 988.0  WAR 985.0  WAR 979.0  0 R 12 R 8 R 13 ATFL 18 
